"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"33",467,471,"MAONZE","K002M","PresentElder","M","g_16;em_12_1285;n_31912-n_31913;p_19;#=ew_69_152339;prefix=02336-;[0]=ew_0_11239","te","ingoa","na:","ingoa","ingoa","oa",288.526,288.586,"ingoa oa","ingoa","iNoa","oa",TRUE,"no",2,"no","M","M",288.532,715,1465,288.538,696,1252,288.544,690,1259,288.55,687,1506,288.556,732,1735,288.562,797,1549,288.568,796,1262,288.574,753,1269,288.58,749,1162,""
"34",468,472,"MAONZE","K002M","PresentElder","M","g_16;em_12_1286;n_31913-n_31914;p_19;#=ew_69_152343;prefix=02340-;[0]=ew_0_11250","kaainga","katoa","kei","katoa","katoa","oa",294.866,295.206,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",294.9,504,924,294.934,496,912,294.968,507,954,295.002,537,988,295.036,547,1041,295.07,571,1057,295.104,593,1117,295.138,559,1177,295.172,624,1599,""
"35",478,482,"MAONZE","K002M","PresentElder","M","g_16;em_12_1299;n_31926-n_31927;p_19;#=ew_69_152374;prefix=02371-;[0]=ew_0_11371","teenaa","ingoa","he","ingoa","ingoa","oa",362.629,362.699,"ingoa oa","ingoa","iNoa","oa",TRUE,"no",2,"no","M","M",362.636,610,1058,362.643,610,1086,362.65,613,1138,362.657,635,1169,362.664,647,1206,362.671,635,1263,362.678,636,1333,362.685,626,1362,362.692,614,1394,""
"36",483,487,"MAONZE","K002M","PresentElder","M","g_17;em_12_1316;n_31942-n_31943;p_19;#=ew_69_151517;prefix=02392-;[0]=ew_0_11501","eke","katoa","ki","katoa","katoa","oa",59.296,59.406,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",59.307,472,1042,59.318,466,992,59.329,470,1020,59.34,474,1069,59.351,461,1100,59.362,444,1135,59.373,426,1170,59.384,412,1243,59.395,400,1249,""
"37",484,488,"MAONZE","K002M","PresentElder","M","g_17;em_12_1322;n_31948-n_31949;p_19;#=ew_69_151528;prefix=02402-;[0]=ew_0_11555","he","ingoa","mo:","ingoa","ingoa","oa",90.369,90.459,"ingoa oa","ingoa","iNoa","oa",TRUE,"no",2,"no","M","M",90.378,605,961,90.387,578,895,90.396,553,878,90.405,566,870,90.414,567,872,90.423,582,898,90.432,593,916,90.441,613,913,90.45,581,903,""
"38",485,489,"MAONZE","K002M","PresentElder","M","g_17;em_12_1322;n_31948-n_31949;p_19;#=ew_69_151529;prefix=02403-;[0]=ew_0_11561","he","ingoa","mo:","ingoa","ingoa","oa",91.599,91.659,"ingoa oa","ingoa","iNoa","oa",TRUE,"no",2,"no","M","M",91.605,601,934,91.611,567,960,91.617,571,960,91.623,572,951,91.629,570,944,91.635,576,943,91.641,582,944,91.647,580,942,91.653,564,937,""
"39",489,493,"MAONZE","K002M","PresentElder","M","g_17;em_12_1339;n_31965-n_31966;p_19;#=ew_69_151574;prefix=02448-;[0]=ew_0_11718","riro","katoa","mai","katoa","katoa","oa",165.042,165.132,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",165.051,587,992,165.06,504,1026,165.069,512,981,165.078,508,962,165.087,500,924,165.096,499,895,165.105,499,884,165.114,509,856,165.123,569,896,""
"40",490,494,"MAONZE","K002M","PresentElder","M","g_17;em_12_1339;n_31965-n_31966;p_19;#=ew_69_151578;prefix=02452-;[0]=ew_0_11723","teitei","katoa","mai","katoa ","katoa","oa",166.642,166.742,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",166.652,548,1064,166.662,619,872,166.672,606,969,166.682,531,958,166.692,591,963,166.702,767,1049,166.712,714,993,166.722,721,1003,166.732,829,1220,""
"41",493,497,"MAONZE","K002M","PresentElder","M","g_17;em_12_1352;n_31978-n_31979;p_19;#=ew_69_151615;prefix=02486-;[0]=ew_0_11850","mahi","katoa","kutikuti","katoa","katoa","oa",228.077,228.287,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",228.098,505,997,228.119,518,992,228.14,533,1010,228.161,553,1036,228.182,578,1027,228.203,586,1048,228.224,569,1030,228.245,537,1156,228.266,542,1146,""
"42",509,513,"MAONZE","K002M","PresentElder","M","g_1943;em_12_165623;n_6845782-n_6845795;p_19;#=ew_69_151810;prefix=02571-;[0]=ew_0_1296079","ah","roa","tonu","roa","roa","oa",37.23,37.36,"roa oa","roa","roa","oa",TRUE,"yes",1,"no","M","M",37.243,465,973,37.256,475,898,37.269,464,833,37.282,474,834,37.295,518,879,37.308,536,946,37.321,550,1012,37.334,564,1096,37.347,580,1163,""
